#J D noD
0 -0.00092 0.00031
0 -0.00092 0.00031
0 0.0034 0.011
0 0.0034 0.011
0 0.05 0.02
0 0.05 0.02
0 0.042 0.03
0 0.042 0.03
0 0.0027 0.041
0 0.0027 0.041
0 0.0021 0.047
0 0.0021 0.047
0 0.022 0.052
0.0139626222 0.022 0.052
0.0279252444 0.036 0.059
0.0418878667 0.036 0.059
0.0558504889 0.019 0.057
0.0698131111 0.019 0.057
0.0837757333 0.089 0.056
0.0977383556 0.089 0.056
0.1117009778 0.13 0.07
0.1256636 0.13 0.07
0.1396262222 0.13 0.093
0.1535888444 0.13 0.093
0.1675514667 0.13 0.12
0.1815140889 0.13 0.12
0.1954767111 0.19 0.15
0.2094393333 0.19 0.15
0.2234019556 0.24 0.17
0.2373645778 0.24 0.17
0.2513272 0.27 0.23
0.2652898222 0.27 0.23
0.2792524444 0.29 0.27
0.2932150667 0.29 0.27
0.3071776889 0.31 0.31
0.3211403111 0.31 0.31
0.3351029333 0.35 0.36
0.3490655556 0.35 0.36
0.3630281778 0.38 0.39
0.3769908 0.38 0.39
0.3909534222 0.4 0.43
0.4049160444 0.4 0.43
0.4188786667 0.41 0.47
0.4328412889 0.41 0.47
0.4468039111 0.45 0.51
0.4607665333 0.45 0.51
0.4747291556 0.47 0.53
0.4886917778 0.47 0.53
0.5026544 0.49 0.55
0.5166170222 0.49 0.55
0.5305796444 0.54 0.58
0.5445422667 0.54 0.58
0.5585048889 0.56 0.62
0.5724675111 0.56 0.62
0.5864301333 0.58 0.66
0.6003927556 0.58 0.66
0.6143553778 0.61 0.67
0.628318 0.61 0.67
0.6422806222 0.65 0.67
0.6562432444 0.65 0.67
0.6702058667 0.67 0.7
0.6841684889 0.67 0.7
0.6981311111 0.72 0.73
0.7120937333 0.72 0.73
0.7260563556 0.74 0.76
0.7400189778 0.74 0.76
0.7539816 0.76 0.77
0.7679442222 0.76 0.77
0.7819068444 0.81 0.79
0.7853975 0.81 0.79
0.7853975 0.84 0.81
0.7853975 0.84 0.81
0.7853975 0.85 0.83
0.7853975 0.85 0.83
0.7853975 0.83 0.85
0.7853975 0.83 0.85
0.7853975 0.84 0.86
0.7853975 0.84 0.86
0.7853975 0.85 0.86
0.7853975 0.85 0.86
0.6981311111 0.84 0.86
0.6108647222 0.84 0.86
0.5235983333 0.8 0.85
0.4363319444 0.8 0.85
0.3490655556 0.69 0.78
0.2617991667 0.69 0.78
0.1745327778 0.51 0.65
0.0872663889 0.51 0.65
0 0.36 0.54
-0.0872663889 0.36 0.54
-0.1745327778 0.22 0.41
-0.2617991667 0.22 0.41
-0.3490655556 0.044 0.29
-0.4363319444 0.044 0.29
-0.5235983333 -0.24 0.18
-0.6108647222 -0.24 0.18
-0.6981311111 -0.36 0.047
-0.7853975 -0.36 0.047
-0.7853975 -0.58 -0.097
-0.7853975 -0.58 -0.097
-0.7853975 -0.75 -0.23
-0.7853975 -0.75 -0.23
-0.7853975 -0.82 -0.37
-0.7853975 -0.82 -0.37
-0.7853975 -0.86 -0.53
-0.7853975 -0.86 -0.53
-0.7853975 -0.9 -0.65
-0.7853975 -0.9 -0.65
-0.7853975 -0.92 -0.77
-0.6981311111 -0.92 -0.77
-0.6108647222 -0.95 -0.84
-0.5235983333 -0.95 -0.84
-0.4363319444 -0.89 -0.84
-0.3490655556 -0.89 -0.84
-0.2617991667 -0.76 -0.79
-0.1745327778 -0.76 -0.79
-0.0872663889 -0.64 -0.7
0 -0.64 -0.7
0.0872663889 -0.46 -0.63
0.1745327778 -0.46 -0.63
0.2617991667 -0.33 -0.51
0.3490655556 -0.33 -0.51
0.4363319444 -0.16 -0.36
0.5235983333 -0.16 -0.36
0.6108647222 0.059 -0.2
0.6981311111 0.059 -0.2
0.7853975 0.29 -0.058
0.7853975 0.29 -0.058
0.7853975 0.6 0.11
0.7853975 0.6 0.11
0.7853975 0.76 0.26
0.7853975 0.76 0.26
0.7853975 0.77 0.44
0.7853975 0.77 0.44
0.7853975 0.83 0.64
0.7853975 0.83 0.64
0.7853975 0.93 0.79
0.7853975 0.93 0.79
0.6981311111 0.96 0.86
0.6108647222 0.96 0.86
0.5235983333 0.92 0.9
0.4363319444 0.92 0.9
0.3490655556 0.82 0.89
0.2617991667 0.82 0.89
0.1745327778 0.73 0.83
0.0872663889 0.73 0.83
0 0.6 0.76
-0.0872663889 0.6 0.76
-0.1745327778 0.44 0.68
-0.2617991667 0.44 0.68
-0.3490655556 0.3 0.55
-0.4363319444 0.3 0.55
