#T J D noD
0 0 -0.00092 0.00031
0.05 0 -0.00092 0.00031
0.1 0 0.0034 0.011
0.15 0 0.0034 0.011
0.2 0 0.05 0.02
0.25 0 0.05 0.02
0.3 0 0.042 0.03
0.35 0 0.042 0.03
0.4 0 0.0027 0.041
0.45 0 0.0027 0.041
0.5 0 0.0021 0.047
0.55 0 0.0021 0.047
0.6 0 0.022 0.052
0.65 0.0139626222 0.022 0.052
0.7 0.0279252444 0.036 0.059
0.75 0.0418878667 0.036 0.059
0.8 0.0558504889 0.019 0.057
0.85 0.0698131111 0.019 0.057
0.9 0.0837757333 0.089 0.056
0.95 0.0977383556 0.089 0.056
1 0.1117009778 0.13 0.07
1.05 0.1256636 0.13 0.07
1.1 0.1396262222 0.13 0.093
1.15 0.1535888444 0.13 0.093
1.2 0.1675514667 0.13 0.12
1.25 0.1815140889 0.13 0.12
1.3 0.1954767111 0.19 0.15
1.35 0.2094393333 0.19 0.15
1.4 0.2234019556 0.24 0.17
1.45 0.2373645778 0.24 0.17
1.5 0.2513272 0.27 0.23
1.55 0.2652898222 0.27 0.23
1.6 0.2792524444 0.29 0.27
1.65 0.2932150667 0.29 0.27
1.7 0.3071776889 0.31 0.31
1.75 0.3211403111 0.31 0.31
1.8 0.3351029333 0.35 0.36
1.85 0.3490655556 0.35 0.36
1.9 0.3630281778 0.38 0.39
1.95 0.3769908 0.38 0.39
2 0.3909534222 0.4 0.43
2.05 0.4049160444 0.4 0.43
2.1 0.4188786667 0.41 0.47
2.15 0.4328412889 0.41 0.47
2.2 0.4468039111 0.45 0.51
2.25 0.4607665333 0.45 0.51
2.3 0.4747291556 0.47 0.53
2.35 0.4886917778 0.47 0.53
2.4 0.5026544 0.49 0.55
2.45 0.5166170222 0.49 0.55
2.5 0.5305796444 0.54 0.58
2.55 0.5445422667 0.54 0.58
2.6 0.5585048889 0.56 0.62
2.65 0.5724675111 0.56 0.62
2.7 0.5864301333 0.58 0.66
2.75 0.6003927556 0.58 0.66
2.8 0.6143553778 0.61 0.67
2.85 0.628318 0.61 0.67
2.9 0.6422806222 0.65 0.67
2.95 0.6562432444 0.65 0.67
3 0.6702058667 0.67 0.7
3.05 0.6841684889 0.67 0.7
3.1 0.6981311111 0.72 0.73
3.15 0.7120937333 0.72 0.73
3.2 0.7260563556 0.74 0.76
3.25 0.7400189778 0.74 0.76
3.3 0.7539816 0.76 0.77
3.35 0.7679442222 0.76 0.77
3.4 0.7819068444 0.81 0.79
3.45 0.7853975 0.81 0.79
3.5 0.7853975 0.84 0.81
3.55 0.7853975 0.84 0.81
3.6 0.7853975 0.85 0.83
3.65 0.7853975 0.85 0.83
3.7 0.7853975 0.83 0.85
3.75 0.7853975 0.83 0.85
3.8 0.7853975 0.84 0.86
3.85 0.7853975 0.84 0.86
3.9 0.7853975 0.85 0.86
3.95 0.7853975 0.85 0.86
4 0.6981311111 0.84 0.86
4.05 0.6108647222 0.84 0.86
4.1 0.5235983333 0.8 0.85
4.15 0.4363319444 0.8 0.85
4.2 0.3490655556 0.69 0.78
4.25 0.2617991667 0.69 0.78
4.3 0.1745327778 0.51 0.65
4.35 0.0872663889 0.51 0.65
4.4 0 0.36 0.54
4.45 -0.0872663889 0.36 0.54
4.5 -0.1745327778 0.22 0.41
4.55 -0.2617991667 0.22 0.41
4.6 -0.3490655556 0.044 0.29
4.65 -0.4363319444 0.044 0.29
4.7 -0.5235983333 -0.24 0.18
4.75 -0.6108647222 -0.24 0.18
4.8 -0.6981311111 -0.36 0.047
4.85 -0.7853975 -0.36 0.047
4.9 -0.7853975 -0.58 -0.097
4.95 -0.7853975 -0.58 -0.097
5 -0.7853975 -0.75 -0.23
5.05 -0.7853975 -0.75 -0.23
5.1 -0.7853975 -0.82 -0.37
5.15 -0.7853975 -0.82 -0.37
5.2 -0.7853975 -0.86 -0.53
5.25 -0.7853975 -0.86 -0.53
5.3 -0.7853975 -0.9 -0.65
5.35 -0.7853975 -0.9 -0.65
5.4 -0.7853975 -0.92 -0.77
5.45 -0.6981311111 -0.92 -0.77
5.5 -0.6108647222 -0.95 -0.84
5.55 -0.5235983333 -0.95 -0.84
5.6 -0.4363319444 -0.89 -0.84
5.65 -0.3490655556 -0.89 -0.84
5.7 -0.2617991667 -0.76 -0.79
5.75 -0.1745327778 -0.76 -0.79
5.8 -0.0872663889 -0.64 -0.7
5.85 0 -0.64 -0.7
5.9 0.0872663889 -0.46 -0.63
5.95 0.1745327778 -0.46 -0.63
6 0.2617991667 -0.33 -0.51
6.05 0.3490655556 -0.33 -0.51
6.1 0.4363319444 -0.16 -0.36
6.15 0.5235983333 -0.16 -0.36
6.2 0.6108647222 0.059 -0.2
6.25 0.6981311111 0.059 -0.2
6.3 0.7853975 0.29 -0.058
6.35 0.7853975 0.29 -0.058
6.4 0.7853975 0.6 0.11
6.45 0.7853975 0.6 0.11
6.5 0.7853975 0.76 0.26
6.55 0.7853975 0.76 0.26
6.6 0.7853975 0.77 0.44
6.65 0.7853975 0.77 0.44
6.7 0.7853975 0.83 0.64
6.75 0.7853975 0.83 0.64
6.8 0.7853975 0.93 0.79
6.85 0.7853975 0.93 0.79
6.9 0.6981311111 0.96 0.86
6.95 0.6108647222 0.96 0.86
7 0.5235983333 0.92 0.9
7.05 0.4363319444 0.92 0.9
7.1 0.3490655556 0.82 0.89
7.15 0.2617991667 0.82 0.89
7.2 0.1745327778 0.73 0.83
7.25 0.0872663889 0.73 0.83
7.3 0 0.6 0.76
7.35 -0.0872663889 0.6 0.76
7.4 -0.1745327778 0.44 0.68
7.45 -0.2617991667 0.44 0.68
7.5 -0.3490655556 0.3 0.55
7.55 -0.4363319444 0.3 0.55
7.6 -0.5235983333 0.079 0.42
7.65 -0.6108647222 0.079 0.42
7.7 -0.6981311111 -0.16 0.31
7.75 -0.7853975 -0.16 0.31
7.8 -0.7853975 -0.28 0.19
7.85 -0.7853975 -0.28 0.19
7.9 -0.7853975 -0.53 0.06
7.95 -0.7853975 -0.53 0.06
8 -0.7853975 -0.77 -0.087
8.05 -0.7853975 -0.77 -0.087
8.1 -0.7853975 -0.79 -0.22
8.15 -0.7853975 -0.79 -0.22
8.2 -0.7853975 -0.78 -0.39
8.25 -0.7853975 -0.78 -0.39
8.3 -0.7853975 -0.87 -0.54
8.35 -0.6981311111 -0.87 -0.54
8.4 -0.6108647222 -0.94 -0.7
8.45 -0.5235983333 -0.94 -0.7
8.5 -0.4363319444 -0.91 -0.76
8.55 -0.3490655556 -0.91 -0.76
8.6 -0.2617991667 -0.72 -0.72
8.65 -0.1745327778 -0.72 -0.72
8.7 -0.0872663889 -0.56 -0.65
8.75 0 -0.56 -0.65
8.8 0.0872663889 -0.51 -0.57
