#milliseconds	datetime	qptr_op	gyro_x	gyro_y	gyro_z	react_t	angle_x	angle_y	angle_z	trq_x	trq_y	trq_z	c_power	voltage	PID_P_x	PID_P_y	PID_P_z	PID_I_x	PID_I_y	PID_I_z	PID_D_x	PID_D_y	PID_D_z	q_head	Kp_x	Kp_y	Kp_z	Ki_x	Ki_y	Ki_z	Kd_x	Kd_y	Kd_z	MaxP_x	MaxP_y	MaxP_z	MaxI_x	MaxI_y	MaxI_z	MaxD_x	MaxD_y	MaxD_z	joy_x	joy_y	joy_hdn	j_power		M1	M2	M3	M4	read_time	write_time	loop_time	offx	offy	offz
1395410055227	2014.03.21_17:54:15	1	-3.1	-0.78	-0.78	3	2.9	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.0086	-0.00078	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.068	0	0	0	0	0	
1395410055251	2014.03.21_17:54:15	1	-3.1	-0.78	-0.78	3	2.9	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.0086	-0.00078	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.068	0	0	0	0	0	
1395410055287	2014.03.21_17:54:15	1	-3.1	-0.78	-0.78	3	2.9	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.0086	-0.00078	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.068	0	0	0	0	0	
1395410055337	2014.03.21_17:54:15	1	-2.3	-0.78	-0.78	3	2.8	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.0047	-0.00078	0.0078	5.06	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.069	0	0	0	0	0	
1395410055387	2014.03.21_17:54:15	1	-2.3	-0.78	-0.78	3	2.8	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.0047	-0.00078	0.0078	5.06	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.069	0	0	0	0	0	
1395410055437	2014.03.21_17:54:15	1	-0.78	-0.78	-0.78	3	2.8	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.00078	-0.00078	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.064	0	0	0	0	0	
1395410055487	2014.03.21_17:54:15	1	-0.78	-0.78	-0.78	3	2.8	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.00078	-0.00078	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.064	0	0	0	0	0	
1395410055538	2014.03.21_17:54:15	1	0	-0.78	-0.78	3	2.8	-0.045	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0031	-0.00078	0.0078	5.06	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.065	0	0	0	0	0	
1395410055587	2014.03.21_17:54:15	1	0	-0.78	-0.78	3	2.8	-0.045	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0031	-0.00078	0.0078	5.06	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.065	0	0	0	0	0	
1395410055638	2014.03.21_17:54:15	1	0.78	-0.78	-0.78	3	2.8	-0.045	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.007	-0.00078	0.0078	5.07	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.064	0	0	0	0	0	
1395410055687	2014.03.21_17:54:15	1	0.78	-0.78	-0.78	3	2.8	-0.045	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.007	-0.00078	0.0078	5.07	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.064	0	0	0	0	0	
1395410055737	2014.03.21_17:54:15	1	1.6	-0.78	-0.78	3	2.9	-0.045	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0094	-0.00078	0.0078	5.07	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.064	0	0	0	0	0	
1395410055787	2014.03.21_17:54:15	1	1.6	-0.78	-0.78	3	2.9	-0.045	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0094	-0.00078	0.0078	5.07	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.064	0	0	0	0	0	
1395410055837	2014.03.21_17:54:15	1	2.3	-0.78	-0.78	3	2.9	-0.045	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.011	0	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.065	0	0	0	0	0	
1395410055887	2014.03.21_17:54:15	1	2.3	-0.78	-0.78	3	2.9	-0.045	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.011	0	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.065	0	0	0	0	0	
1395410055937	2014.03.21_17:54:15	1	2.3	-0.78	-0.78	3	2.9	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.011	-0.00078	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.068	0	0	0	0	0	
1395410055987	2014.03.21_17:54:15	1	2.3	-0.78	-0.78	3	2.9	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.011	-0.00078	0.0078	5.08	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.068	0	0	0	0	0	
1395410056037	2014.03.21_17:54:16	1	2.3	-0.78	-0.78	3	2.9	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.011	0	0.0078	5.09	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.065	0	0	0	0	0	
1395410056087	2014.03.21_17:54:16	1	2.3	-0.78	-0.78	3	2.9	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.011	0	0.0078	5.09	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.065	0	0	0	0	0	
1395410056137	2014.03.21_17:54:16	1	1.6	-0.78	-0.78	3	3	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0086	0	0.0078	5.09	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.062	0	0	0	0	0	
1395410056187	2014.03.21_17:54:16	1	1.6	-0.78	-0.78	3	3	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0086	0	0.0078	5.09	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.062	0	0	0	0	0	
1395410056237	2014.03.21_17:54:16	1	0.78	-0.78	-0.78	3	3	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0063	0	0.0078	5.09	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.068	0	0	0	0	0	
1395410056287	2014.03.21_17:54:16	1	0.78	-0.78	-0.78	3	3	-0.046	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0063	0	0.0078	5.09	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.068	0	0	0	0	0	
1395410056337	2014.03.21_17:54:16	1	0	-0.78	-0.78	3	3	-0.047	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0023	-0.00078	0.0078	5.1	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.063	0	0	0	0	0	
1395410056387	2014.03.21_17:54:16	1	0	-0.78	-0.78	3	3	-0.047	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	-0.0023	-0.00078	0.0078	5.1	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.063	0	0	0	0	0	
1395410056437	2014.03.21_17:54:16	1	-0.78	-0.78	-0.78	3	3	-0.047	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.00078	0	0.0078	5.07	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.063	0	0	0	0	0	
1395410056487	2014.03.21_17:54:16	1	-0.78	-0.78	-0.78	3	3	-0.047	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.00078	0	0.0078	5.07	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.063	0	0	0	0	0	
1395410056537	2014.03.21_17:54:16	1	-1.6	-0.78	-0.78	3	3	-0.047	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.0039	0	0.0078	5.1	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.066	0	0	0	0	0	
1395410056587	2014.03.21_17:54:16	1	-1.6	-0.78	-0.78	3	3	-0.047	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.0039	0	0.0078	5.1	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.066	0	0	0	0	0	
1395410056637	2014.03.21_17:54:16	1	-2.3	-0.78	-0.78	3	3	-0.047	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.007	0	0.0078	5.1	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.063	0	0	0	0	0	
1395410056687	2014.03.21_17:54:16	1	-2.3	-0.78	-0.78	3	3	-0.047	0	0	0	0	0	14.1	-0.059	0.007	0.15	-0.03	0.029	0.047	0.007	0	0.0078	5.1	0.16	0.16	0.3	0.21	0.21	0.2	0.052	0.052	0.02	0.06	0.06	0.15	0.03	0.03	0.05	0.28	0.28	0.21	0	0	6.28	0	0	0	0	0	0.063	0	0	0	0	0	
